declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
AL-SOE-2020-03-13-state-of-emergency-coronavirus-covid-19,AL,Kay Ivey,,emergency_declaration,declaration,State of Emergency: Coronavirus (COVID-19),2020-03-13,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2020/03/2020-03-13-Initial-COVID-19-SOE.pdf,https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/
AL-SOE-2020-02-18-state-of-emergency-flooding,AL,Kay Ivey,,emergency_declaration,declaration,State of Emergency: Flooding,2020-02-18,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2020/02/2020-02-18_Flooding-SOE.pdf,https://governor.alabama.gov/newsroom/2020/02/state-of-emergency-flooding/
AL-EO-719,AL,Kay Ivey,719,executive_order,administrative,EXECUTIVE ORDER 719 — EO 719 Study Group on Gambling Policy,2020-02-14,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2020/02/EO-719-Study-Group-on-Gambling-Policy.pdf,https://governor.alabama.gov/newsroom/2020/02/executive-order-719/
AL-SOE-2019-07-25-state-of-emergency-i-59-bridge-repairs,AL,Kay Ivey,,emergency_declaration,declaration,State of Emergency: I-59 Bridge Repairs,2019-07-25,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/07/2019-07-25_I-59-Bridge-Repairs-SOE.pdf,https://governor.alabama.gov/newsroom/2019/07/state-of-emergency-i-59-bridge-repairs/
AL-EO-718,AL,Kay Ivey,718,executive_order,administrative,EXECUTIVE ORDER NO. 718 — EO 718 Establsihing Governors Study Group on Criminal Justice Policy,2019-07-18,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/07/EO-718-Establsihing-Governors-Study-Group-on-Criminal-Justice-Policy.pdf,https://governor.alabama.gov/newsroom/2019/07/executive-order-no-718/
AL-SOE-2019-07-11-second-extension-of-actual-expense-reimbursement-for-sta,AL,Kay Ivey,,emergency_declaration,extension,Second Extension of Actual Expense Reimbursement for State of Emergency: Flooding and Severe Weather,2019-07-11,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/07/2019-07-11_SOE-2nd-Extension-Actual-Expenses.pdf,https://governor.alabama.gov/newsroom/2019/07/second-extension-of-actual-expense-reimbursement-for-state-of-emergency-flooding-and-severe-weather/
AL-EO-717,AL,Kay Ivey,717,executive_order,administrative,EXECUTIVE ORDER NO. 717 — EO 717 Establishing Alabama Office of Apprenticeship,2019-06-30,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/07/EO-717-Establishing-Alabama-Office-of-Apprenticeship.pdf,https://governor.alabama.gov/newsroom/2019/06/executive-order-no-717/
AL-SOE-2019-04-24-extension-of-actual-expense-reimbursement-for-state-of-e,AL,Kay Ivey,,emergency_declaration,extension,Extension of Actual Expense Reimbursement for State of Emergency: Flooding and Severe Weather,2019-04-24,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/04/2019-04-24_SOE-Extension-Actual-Expenses.pdf,https://governor.alabama.gov/newsroom/2019/04/extension-of-actual-expense-reimbursement-for-state-of-emergency-flooding-and-severe-weather/
AL-SOE-2019-03-04-supplemental-state-of-emergency-flooding-and-severe-weat,AL,Kay Ivey,,emergency_declaration,amendment,Supplemental State of Emergency: Flooding and Severe Weather,2019-03-04,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/03/2019-03-04_Severe-Weather-Supplemental-SOE.pdf,https://governor.alabama.gov/newsroom/2019/03/supplemental-state-of-emergency-flooding-and-severe-weather/
AL-SOE-2019-02-27-extension-of-state-of-emergency-flooding-and-severe-weat,AL,Kay Ivey,,emergency_declaration,extension,Extension of State of Emergency: Flooding and Severe Weather,2019-02-27,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/02/2019-02-27_Flooding-Supplemental-SOE.pdf,https://governor.alabama.gov/newsroom/2019/02/extension-of-state-of-emergency-flooding-and-severe-weather/
AL-SOE-2019-02-23-state-of-emergency-flooding-and-severe-weather,AL,Kay Ivey,,emergency_declaration,declaration,State of Emergency: Flooding and Severe Weather,2019-02-23,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/02/State-of-Emergency-022319.pdf,https://governor.alabama.gov/newsroom/2019/02/state-of-emergency-flooding-and-severe-weather/
AL-SOE-2019-02-05-extension-of-actual-expense-reimbursement-for-state-of-e,AL,Kay Ivey,,emergency_declaration,extension,Extension of Actual Expense Reimbursement for State of Emergency: Hurricane Michael,2019-02-05,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2019/02/2019-02-05-2nd-Actual-Expense-Reimbursement-Extension.pdf,https://governor.alabama.gov/newsroom/2019/02/extension-of-actual-expense-reimbursement-for-state-of-emergency-hurricane-michael/
