eo_number,title,year,hazard_guess,is_original_weather_declaration,source_url
20-35,BACK ON TRACK INDIANA: STAGE 4.5,2020,,False,https://www.in.gov/dA/0b677b7a2b/Executive-Order-20-35-Back-on-Track-Indiana-Stage-4_5.pdf?language_id=1
20-36,BACK ON TRACK INDIANA: CONTINUATION OF STAGE 4.5,2020,,False,https://www.in.gov/dA/e331005378/Executive-Order-20-36-Continuation-Stage-4.5.pdf?language_id=1
20-37,FACE COVERING REQUIREMENT,2020,,False,https://www.in.gov/dA/4222244136/Executive-Order-20-37-Face-Covering-Requirement.pdf?language_id=1
20-38,FIFTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID-19 OUTBREAK,2020,,False,https://www.in.gov/dA/e707088062/Executive-Order-20-38-5th-Extension-of-the-Public-Health-Emergency.pdf?language_id=1
20-39,BACK ON TRACK INDIANA: SECOND CONTINUATION OF STAGE 4.5,2020,,False,https://www.in.gov/dA/56574e51a5/Executive-Order-20-39-2nd-Extension-Stage-4.5.pdf?language_id=1
20-40,CHILD CARE MATTERS AND COVID~19,2020,,False,https://www.in.gov/dA/0168a01686/Executive-Order-20-40-Child-Care-Matters.pdf?language_id=1
20-41,SIXTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/c0ef295db8/Executive-Order-20-41-Sixth-Renewal-of-Emergency-Declaration.pdf?language_id=1
20-42,THIRD CONTINUATION OF STAGE 4.5 OF INDIANA'S BACK ON TRACK,2020,,False,https://www.in.gov/dA/8ea3236edc/Executive-Order-20-42-30-day-extension-of-4_5-and-Mask-Mandate.pdf?language_id=1
20-43,BACK ON TRACK INDIANA: STAGE FIVE - THE NEW NORMAL DURING A GLOBAL PANDEMIC,2020,,False,https://www.in.gov/dA/c5fadf3d68/Executive-Order-20-43-Stage-5-The-New-Normal-w-Mask-Mandate.pdf?language_id=1
20-44,SEVENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/533ab6b12f/Executive-Order-20-44-Seventh-Renewal-of-Emergency-Declaration.pdf?language_id=1
20-45,RENEWAL OF CERTAIN DIRECTIVES AND RESCISSION OF OTHER DIRECTIVES ISSUED IN RESPONSE TO THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/746bfb939c/Executive-Order-20-45-Renewal-and-Recission-of-Certain-Directives.pdf?language_id=1
20-46,BACK ON TRACK INDIANA: STAGE FIVE CONTINUED,2020,,False,https://www.in.gov/dA/00772c2712/Executive-Order-20-46-Stage-5-Continued.pdf?language_id=1
20-47,EIGHTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/8fedd58b90/Executive-Order-20-47-Eighth-Renewal-of-Emergency-Declaration_2.pdf?language_id=1
20-48,COUNTY~BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2020,,False,https://www.in.gov/dA/c5a63eb407/Executive_Order_20-48_Color-Coded_County_Assessments.pdf?language_id=1
20-49,NINTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/8f11b1b75a/Executive-Order-20-49-Ninth-Renewal-of-Emergency-Declaration.pdf?language_id=1
20-50,CONTINUATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE,2020,,False,https://www.in.gov/dA/e1e39cd7c3/Executive-Order-20-50-Continuation-of-Color-Coded-County-Assessments.pdf?language_id=1
20-51,ADDITIONAL DIRECTIVES AND RENEWAL OF OTHER DIRECTIVES ISSUED IN RESPONSE TO THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/9e685d5dc1/Executive_Order_20-51_New_Directives-Renewal_of_Other_Directives.pdf?language_id=1
20-52,TENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2020,,False,https://www.in.gov/dA/24ac3de367/Executive-Order-20-52-Tenth-Renewal-of-Emergency-Declaration.pdf?language_id=1
20-53,EXTENSION OF THE EXECUTIVE ORDER 20-50 WITH CONTINUATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2020,,False,https://www.in.gov/dA/f798d6651c/Executive-Order-20-53-Ext-of-20-50-Cont.-of-Color-Coded-County-Assessments.pdf?language_id=1
21-01,SECOND EXTENSION OF EXECUTIVE ORDER 20-50 WITH CONTINUATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/c7b8f893a3/Executive-Order-21-01-Second-extension-of-executive-order-20-50.pdf?language_id=1
21-02,THIRD CONTINUATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/016e2dcc70/Executive-Order-21-02-Third-Extension-of-County-Based-Restrictions.pdf?language_id=1
21-03,ELEVENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/08b1879c09/Executive-Order-21-03-Eleventh-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-04,WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING PROPANE GAS,2021,,False,https://www.in.gov/dA/f52a666b9e/Executive-Order-21-04-Propane-Delivery-Hours.pdf?language_id=1
21-05,TWELFTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/18d5f67770/Executive-Order-21-05-Twelfth-Renewal-of-Emergency-Declaration.pdf?language_id=1
21-06,FOURTH CONTINUATION OF COUNTY-BASED MEASURES AND RESTRICTIONS BASED ON THE IMPACT AND SPREAD OF THE CORONAVIRUS DISEASE (COVID~19),2021,,False,https://www.in.gov/dA/ee00472477/Executive-Order-21-06-Fourth-Extension-of-County-Based-Restrictions.pdf?language_id=1
21-07,RENEWAL OF DIRECTIVES ISSUED IN RESPONSE TO THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/ec46a2ba33/Executive-Order-21-07-Renewal-of-COVID-Directives.pdf?language_id=1
21-08,THIRTEENTH RENEWAL OF THE PUBLIC HEALTH EMERGENCY DECLARATION FOR THE COVID~19 OUTBREAK,2021,,False,https://www.in.gov/dA/512314720b/Executive-Order-21-08-Thirtheeth-Renewal-of-Emergency-Declaration.pdf?language_id=1
