declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
KS-PROC-4001,Laura Kelly,4001,Severe Storms (June 18 - 22 (Severe Storms)),2025-06-18,https://www.kansastag.gov/DocumentCenter/View/4001/Severe-Storms-Disaster-Proclamation-June-18-22-PDF
KS-PROC-4016,Laura Kelly,4016,Severe Storms (July 17 - July 22 (Severe Storms)),2025-07-17,https://www.kansastag.gov/DocumentCenter/View/4016/Disaster-Proclamation-July-17-22
KS-PROC-4023,Laura Kelly,4023,Flooding (September 8 - September 12 (Flooding)),2025-09-08,https://www.kansastag.gov/DocumentCenter/View/4023/State-of-Disaster-Proclamation-September-8-12-2025
KS-PROC-4126,Laura Kelly,4126,Winter Storms (January 24 (Winter Storms)),2026-01-24,https://www.kansastag.gov/DocumentCenter/View/4126/Jan-24-2026-Winter-Storm-Disaster-Declaration
KS-PROC-4144,Laura Kelly,4144,Wildfire (February 15 (Wildfire)),2026-02-15,https://www.kansastag.gov/DocumentCenter/View/4144/Feb-15-2026-Wildfire-Disaster-Declaration
KS-PROC-4151,Laura Kelly,4151,Wildfire (March 12 (Wildfire)),2026-03-12,https://www.kansastag.gov/DocumentCenter/View/4151/State-Wildfire-Declaration-March-12-2026
KS-PROC-4168,Laura Kelly,4168,Red Flag Warning (March 20 - March 31 (Red Flag Warning)),2026-03-20,https://www.kansastag.gov/DocumentCenter/View/4168/March-20-2026-Red-Flag-Warningdocx
KS-PROC-4196,Laura Kelly,4196,Severe Weather (April 10 - April 13 (Severe Weather)),2026-04-10,https://www.kansastag.gov/DocumentCenter/View/4196/April-13-2026-Severe-Weather---amendeddocx
KS-PROC-4221,Laura Kelly,4221,Wildland Fire (April 11 - April 26 (Wildland Fire)),2026-04-11,https://www.kansastag.gov/DocumentCenter/View/4221/SOK-Apr-11--Apr-26-2023-Wildland-Fire
KS-PROC-4224,Laura Kelly,4224,Severe Weather (April 25 - April 27 (Severe Weather)),2026-04-25,https://www.kansastag.gov/DocumentCenter/View/4224/April-25-27-2026-Severe-Weather-and-Flooding---amendeddocx
KS-PROC-4223,Laura Kelly,4223,Severe Weather (May 14 (Severe Weather)),2026-05-14,https://www.kansastag.gov/DocumentCenter/View/4223/May-14-2026-wildfire-and-severe-wxdocx
KS-PROC-4263,Laura Kelly,4263,Severe Weather & Flooding (June 2 - June 18 (Severe Weather & Flooding)),2026-06-02,https://www.kansastag.gov/DocumentCenter/View/4263/June-4-2026-Flooding---amendeddocx
KS-PROC-4270,Laura Kelly,4270,Severe Weather (June 20 - July 30 (Severe Weather)),2026-06-20,https://www.kansastag.gov/DocumentCenter/View/4270/State-of-Emergency-Disaster-Declaration-Proclamation_Severe-Storms-Tornadoes-Flooding-June-20-30-2026
KS-PROC-4326,Laura Kelly,4326,Severe Weather (August 18 - Continuing (Severe Weather)),2026-08-18,https://www.kansastag.gov/DocumentCenter/View/4326/State-of-Disaster-Emergency-Proclamation_August-18-2026-and-Continuing-Severe-Storms-PDF
