source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NJ-FLORIO-EO-11,NJ-FLORIO-EO-61,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-63,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-73,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-76,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-88,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-90,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-95,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-96,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-111,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-112,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-120,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-128,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-132,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-145,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-150,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-154,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
NJ-FLORIO-EO-11,NJ-FLORIO-EO-166,terminates,"Rescinds Executive Order Nos. 5, 12, 14, 20, 28, 36, 37, 41, 46, 54, 61, 63, 73, 76, 88, 90, 95, 96, 111, 112, 120, 128, 132, 145, 150, 154, 166, 167, 177, 183, 187, 188, 198, 201, and 212",description,medium
