declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
OR-EO-26-05,OR,Tina Kotek,26-05,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Baker, Deschutes and Umatilla Counties",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-05.pdf,https://www.oregon.gov/gov/eo/eo-26-05.pdf
OR-EO-26-04,OR,Tina Kotek,26-04,executive_order,administrative,Ensuring State Coordination for Immigrant and Refugee Communities to Promote Dignity and Safety,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-04.pdf,https://www.oregon.gov/gov/eo/eo-26-04.pdf
OR-EO-26-03,OR,Tina Kotek,26-03,emergency_declaration,amendment,Third Extension of Executive Order 25-08 Declaring a State of Emergency in Wasco County due to the Rowena Wildfire,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-03.pdf,https://www.oregon.gov/gov/eo/eo-26-03.pdf
OR-EO-26-02,OR,Tina Kotek,26-02,executive_order,administrative,"Expanding State of Emergency Declared in Executive Order 25-32 to include Linn, Polk, Umatilla, Union, and Wallowa Counties",,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-02.pdf,https://www.oregon.gov/gov/eo/eo-26-02.pdf
OR-EO-26-01,OR,Tina Kotek,26-01,emergency_declaration,extension,Extending Homelessness Emergency,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-01.pdf,https://www.oregon.gov/gov/eo/eo-26-01.pdf
OR-EO-25-32,OR,Tina Kotek,25-32,emergency_declaration,declaration,"Determination of State of Emergency in multiple counties due to a Severe Storm that included high winds, heavy rain, flooding, and landslides",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-32.pdf,https://www.oregon.gov/gov/eo/eo-25-32.pdf
OR-EO-25-31,OR,Tina Kotek,25-31,emergency_declaration,termination,Rescinding Executive Order 25-30,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-31.pdf,https://www.oregon.gov/gov/eo/eo-25-31.pdf
OR-EO-25-30,OR,Tina Kotek,25-30,emergency_declaration,declaration,Proclamation of State of Emergency Due to Impacts of the Olympic Pipeline Shutdown,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-30.pdf,https://www.oregon.gov/gov/eo/eo-25-30.pdf
OR-EO-25-29,OR,Tina Kotek,25-29,executive_order,administrative,Executive Order on Reducing Greenhouse Gas Emissions and Advancing Oregon's Clean Energy Future,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-29.pdf,https://www.oregon.gov/gov/eo/eo-25-29.pdf
OR-EO-25-28,OR,Tina Kotek,25-28,emergency_declaration,amendment,Second Extension of Executive Order 25-08 Declaring a State of Emergency in Wasco County due to the Rowena Fire,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-28.pdf,https://www.oregon.gov/gov/eo/eo-25-28.pdf
OR-EO-25-27,OR,Tina Kotek,25-27,executive_order,administrative,Declaring a Hunger Emergency to Protect Oregonians from the Suspension of Federal Supplemental Nutrition Assistance Program (SNAP),,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-27.pdf,https://www.oregon.gov/gov/eo/eo-25-27.pdf
OR-EO-25-26,OR,Tina Kotek,25-26,executive_order,administrative,Directing State Agencies to Take Urgent Action to Promote the Resilience of our Communities and Natural and Working Lands and Waters,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-26.pdf,https://www.oregon.gov/gov/eo/eo-25-26.pdf
OR-EO-25-25,OR,Tina Kotek,25-25,executive_order,administrative,Accelerating Wind and Solar Energy Development in Advance of Elimination of Federal Clean Energy Tax Credits,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-25.pdf,https://www.oregon.gov/gov/eo/eo-25-25.pdf
OR-EO-25-24,OR,Tina Kotek,25-24,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Moon Complex Fire in Curry County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-24.pdf,https://www.oregon.gov/gov/eo/eo-25-24.pdf
OR-EO-25-23,OR,Tina Kotek,25-23,emergency_declaration,declaration,Determination of a State of Drought Emergency on Jefferson County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-23.pdf,https://www.oregon.gov/gov/eo/eo-25-23.pdf
OR-EO-25-22,OR,Tina Kotek,25-22,executive_order,administrative,Constructing Seismically Resilient State Buildings,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-22.pdf,https://www.oregon.gov/gov/eo/eo-25-22.pdf
OR-EO-25-21,OR,Tina Kotek,25-21,executive_order,administrative,Tobacco Prevention and Education Program Council,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-21.pdf,https://www.oregon.gov/gov/eo/eo-25-21.pdf
OR-EO-25-20,OR,Tina Kotek,25-20,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Flat Fire in Jefferson and Deschutes Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-20.pdf,https://www.oregon.gov/gov/eo/eo-25-20.pdf
OR-EO-25-19,OR,Tina Kotek,25-19,emergency_declaration,declaration,Determination of a State of Drought Emergency in Coos and Wheeler Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-19.pdf,https://www.oregon.gov/gov/eo/eo-25-19.pdf
OR-EO-25-18,OR,Tina Kotek,25-18,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Morrow, Douglas, and Union Counties.",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-18.pdf,https://www.oregon.gov/gov/eo/eo-25-18.pdf
OR-EO-25-17,OR,Tina Kotek,25-17,emergency_declaration,extension,Extending Executive Order 25-08 Declaring a State of Emergency in Wasco County due to the Rowena Wildfire,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-17.pdf,https://www.oregon.gov/gov/eo/eo-25-17.pdf
OR-EO-25-16,OR,Tina Kotek,25-16,emergency_declaration,declaration,Declaration of State of Emergency Due to Imminent Threat of Wildfire,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-16.pdf,https://www.oregon.gov/gov/eo/eo-25-16.pdf
OR-EO-25-15,OR,Tina Kotek,25-15,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Cram Fire in Jefferson and Wasco Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-15.pdf,https://www.oregon.gov/gov/eo/eo-25-15.pdf
OR-EO-25-14,OR,Tina Kotek,25-14,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Highland Fire in Crook County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-14.pdf,https://www.oregon.gov/gov/eo/eo-25-14.pdf
OR-EO-25-13,OR,Tina Kotek,25-13,emergency_declaration,declaration,Determination of a State of Drought Emergency in Lincoln County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-13.pdf,https://www.oregon.gov/gov/eo/eo-25-13.pdf
OR-EO-25-12,OR,Tina Kotek,25-12,emergency_declaration,declaration,Determination of a State of Drought Emergency in Baker County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-12.pdf,https://www.oregon.gov/gov/eo/eo-25-12.pdf
OR-EO-25-11,OR,Tina Kotek,25-11,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Elk Fire in Klamath County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-11.pdf,https://www.oregon.gov/gov/eo/eo-25-11.pdf
OR-EO-25-10,OR,Tina Kotek,25-10,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Cold Springs Fire in Umatilla County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-10.pdf,https://www.oregon.gov/gov/eo/eo-25-10.pdf
OR-EO-25-09,OR,Tina Kotek,25-09,executive_order,administrative,Personal Electronic Device Policy for School Districts,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-09.pdf,https://www.oregon.gov/gov/eo/eo-25-09.pdf
OR-EO-25-08,OR,Tina Kotek,25-08,emergency_declaration,declaration,Declaration of State of Emergency in Wasco County Due to the Rowena Wildfire,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-08.pdf,https://www.oregon.gov/gov/eo/eo-25-08.pdf
OR-EO-25-07,OR,Tina Kotek,25-07,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Alder Springs Fire in Jefferson County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-07.pdf,https://www.oregon.gov/gov/eo/eo-25-07.pdf
OR-EO-25-06,OR,Tina Kotek,25-06,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Rowena Fire in Wasco County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-06.pdf,https://www.oregon.gov/gov/eo/eo-25-06.pdf
OR-EO-25-05,OR,Tina Kotek,25-05,emergency_declaration,declaration,Declaration of State of Emergency in Harney County due to Flooding,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-05.pdf,https://www.oregon.gov/gov/eo/eo-25-05.pdf
OR-EO-25-04,OR,Tina Kotek,25-04,emergency_declaration,declaration,"Determination of State of Emergency in Clackamas, Coos, Curry, Douglas, Harney, Jackson, Josephine, Lane, Multnomah, and Malheur Counties due to Flooding and Landslide Incidents",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-04.pdf,https://www.oregon.gov/gov/eo/eo-25-04.pdf
OR-EO-25-03,OR,Tina Kotek,25-03,emergency_declaration,declaration,"Determination of State of Emergency in Tillamook, Clackamas, Polk, Lincoln, Lane, Coos, Curry, Douglas, Jackson, Wasco, Lake, Umatilla, Wheeler, Grant, and Wallowa due to Heavy Rain and Flooding",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-03.pdf,https://www.oregon.gov/gov/eo/eo-25-03.pdf
OR-EO-25-02,OR,Tina Kotek,25-02,executive_order,administrative,State of Emergency Due to Risk of Economic Shutdown in Morrow and Umatilla Counties,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-02.pdf,https://www.oregon.gov/gov/eo/eo-25-02.pdf
OR-EO-25-01,OR,Tina Kotek,25-01,emergency_declaration,amendment,Extension of Executive Order 24-02 (Homelessness State of Emergency),,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-01.pdf,https://www.oregon.gov/gov/eo/eo-25-01.pdf
OR-EO-24-31,OR,Tina Kotek,24-31,executive_order,administrative,Establishing Project Labor Agreements for State Construction Projects (FAQ),,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-24-31.pdf,https://www.oregon.gov/gov/eo/eo-24-31.pdf
