declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
ID-EO-2024-04,,Executive Order 2024-04: Operation Esto Perpetua,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/04/eo-2024-04_.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-05,,Executive Order 2024-05: Promoting Families and Protecting Children Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/06/eo-2024-05.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-06,,Executive Order 2024-06: Protecting Idaho Water Sovereignty Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/06/eo-2024-06.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-07,,Executive Order 2024-07: Only Citizens Will Vote Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/07/eo-2024-07.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-08,,Executive Order 2024-08: Defending Women’s Sports Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/08/eo-2024-08.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-09,,Executive Order 2024-09: Continuing the Office of Energy and Mineral Resources within the Office of the Governor,companion,"Amendment, extension, continuation, or supplementary action; not a separate event",,https://gov.idaho.gov//wp-content/uploads/2024/10/eo-2024-09.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-10,,Executive Order 2024-10: Continuing the Idaho Strategic Energy Alliance (repealing and replacing Executive Order 2020-18),exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://gov.idaho.gov//wp-content/uploads/2024/10/eo-2024-10.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-11,,Executive Order 2024-11: Phone Free Learning Act,exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2024/10/eo-2024-11.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-12,,"Executive Order 2024-12: Executive Order 2024-12: Continuing a System for Allocating Volume Cap in the State Consistent with Provisions of Title 50, Chapter 28, Idaho Code and the U.S. Internal Revenue Code of 1986",exclude,No event-specific weather declaration confirmed from title,,https://gov.idaho.gov//wp-content/uploads/2025/02/eo-2024-12.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
ID-EO-2024-13A,,Executive Order 2024-13A: Continuing the Idaho Criminal Justice Commission,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://gov.idaho.gov//wp-content/uploads/2025/03/eo-2024-13a.pdf,https://gov.idaho.gov/executive-orders/,No usable embedded text; OCR/manual review required
