declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-414,MA,Paul Cellucci,414,administrative,Establishing the Upper Cape Water Supply Reserve and Commission,1999-10-08,,False,html,https://archives.lib.state.ma.us/entities/journalfile/d34f95cc-2b32-4cc7-bb2c-9da95378d4fa
MA-EO-413,MA,Paul Cellucci,413,administrative,Creating a Workforce Investment Board for the Commonwealth,1999-07-30,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f65273cd-2057-4ef7-a71a-cf50e0e82757
MA-EO-412,MA,Paul Cellucci,412,administrative,To Protect the Privacy of Personal Information,1999-06-23,2008-09-19,False,html,https://archives.lib.state.ma.us/entities/journalfile/edf4871c-4fea-46d9-8d79-ad1587892547
MA-EO-411,MA,Paul Cellucci,411,administrative,(Judicial Nominating Council),1999-05-13,,False,html,https://archives.lib.state.ma.us/entities/journalfile/00d2a083-6be0-447a-9b05-15920cb31905
MA-EO-410,MA,Paul Cellucci,410,administrative,Establishing the Governor's Design Team on Teacher Professional Development and Support,1999-01-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/721fe27e-8167-49ba-b11e-1ba22c51801d
MA-EO-409,MA,Paul Cellucci,409,administrative,Latino-american Advisory Commission,1998-12-22,,False,html,https://archives.lib.state.ma.us/entities/journalfile/980e9ecc-f960-4dcd-8590-06369f75ca89
MA-EO-408,MA,Paul Cellucci,408,administrative,Meeting the Year 2000 Challenge,1998-12-14,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e2a12745-ec03-4dd8-94a4-9a002407b522
MA-EO-407,MA,Paul Cellucci,407,administrative,Governor's Commission on Gay and Lesbian Youth,1998-10-07,,False,html,https://archives.lib.state.ma.us/entities/journalfile/a091352b-f6db-4195-9d12-489710eb1141
MA-EO-406,MA,Paul Cellucci,406,administrative,Council on Youth Violence,1998-07-30,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5fe161a6-a099-4da4-979b-3ae6bd688bc3
MA-EO-405,MA,Paul Cellucci,405,administrative,Massachusetts Managed Care Consumer Protection Measures,1998-05-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/0bdabf5a-2647-4ec3-8246-27c17969e324
MA-EO-404,MA,Paul Cellucci,404,administrative,Commonwealth of Massachusetts Employees Charitable Campaign (COMECC),1998-05-20,2003-06-06,False,html,https://archives.lib.state.ma.us/entities/journalfile/9629ac85-a308-4df3-8fde-0cbaddd62161
MA-EO-403,MA,Paul Cellucci,403,administrative,Integrated Pest Management for Massachusetts State Agencies,1998-04-22,,False,html,https://archives.lib.state.ma.us/entities/journalfile/7d45a03a-3abd-4f85-9f5a-220f492bcc5a
MA-EO-402,MA,Paul Cellucci,402,administrative,Creating an Advisory Panel to Select a Design for the Massachusetts Quarter,1998-02-27,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4fc90a90-4324-4669-9b44-b117fa35a604
