source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
MA-EO-400,MA-EO-472,amends,amended by Executive Order 400,official_metadata,high
MA-EO-470,MA-EO-445,supersedes,Superseding Executive Order 445,official_metadata_or_text,medium
MA-EO-470,MA-EO-445,terminates,revoke Executive Order 445,official_metadata_or_text,medium
MA-EO-468,MA-EO-461,amends,AMENDING EXECUTIVE ORDER NO. 461,official_metadata_or_text,medium
MA-EO-468,MA-EO-461,extends_duration,extend and amend Executive Order 461,official_metadata_or_text,medium
MA-EO-466,MA-EO-445,supersedes,Superseding Executive Order 445,official_metadata_or_text,medium
MA-EO-466,MA-EO-420,terminates,revoke Executive Order 420,official_metadata_or_text,medium
MA-EO-458,MA-EO-445,supersedes,Superseding Executive Order 445,official_metadata_or_text,medium
MA-EO-458,MA-EO-420,terminates,revoke Executive Order 420,official_metadata_or_text,medium
MA-EO-454,MA-EO-447,amends,Amending Executive Order No. 447,official_metadata_or_text,medium
MA-EO-451,MA-EO-404,supersedes,SUPERSEDING EXECUTIVE ORDER 404,official_metadata_or_text,medium
MA-EO-451,MA-EO-404,terminates,revoke Executive Order No. 404,official_metadata_or_text,medium
MA-EO-449,MA-EO-357,amends,Amending Executive Order 357,official_metadata_or_text,medium
MA-EO-445,MA-EO-420,supersedes,Superseding Executive Order 420,official_metadata_or_text,medium
MA-EO-445,MA-EO-420,terminates,revoke Executive Order 420,official_metadata_or_text,medium
MA-EO-227,MA-EO-74,amends,"Amending, and Revising Executive Order No. 74",official_metadata_or_text,medium
MA-EO-108,MA-EO-75,amends,Amendment to Executive Order No. 75,official_metadata_or_text,medium
MA-EO-371,MA-EO-459,amends,amended by Executive Order 371,official_metadata,high
MA-EO-448,MA-EO-459,amends,amended by Executive Order 448,official_metadata,high
