source_declaration_id,relationship_type,target_declaration_id
MN-EO-21-30,amendment,MN-EO-21-26
MN-EO-24-09,amendment,MN-EO-24-05
MN-EO-25-05,formal_declaration_after_operational_action,MN-EO-25-04
MN-EO-25-07,amendment,MN-EO-25-06
