declaration_id,eo_number,title,date_signed,action_type,related_order,hazard_category,archive_record_url
MI-EO-2020-17,2020-17,Executive Order 2020-17: Temporary restrictions on non-essential medical and dental procedures - RESCINDED,2020-03-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/20/executive-order-2020-17
MI-EO-2020-18,2020-18,Executive Order 2020-18: Enhanced restrictions on price gouging - RESCINDED,2020-03-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/20/executive-order-2020-18
MI-EO-2020-19,2020-19,Executive Order 2020-19: Temporary prohibition against entry to premises for the purpose of removing or excluding a tenant or mobile home owner from their home - RESCINDED,2020-03-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/20/executive-order-2020-19
MI-EO-2020-20,2020-20,Executive Order 2020-20: Temporary restrictions on the use of places of public accommodation - RESCINDED,2020-03-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/21/executive-order-2020-20
MI-EO-2020-21,2020-21,Executive Order 2020-21: Temporary requirement to suspend activities that are not necessary to sustain or protect life - RESCINDED,2020-03-23,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/23/executive-order-2020-21
MI-EO-2020-22,2020-22,"Executive Order 2020-22: Extension of county canvass deadlines for the March 10, 2020 Presidential Primary Election - RESCINDED",2020-03-25,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/25/executive-order-2020-22
MI-EO-2020-23,2020-23,Executive Order 2020-23: Enhanced authorization of remote means for carrying out state administrative procedures - RESCINDED,2020-03-25,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/25/executive-order-2020-23
MI-EO-2020-24,2020-24,Executive Order 2020-24: Temporary expansions in unemployment eligibility and cost-sharing - RESCINDED,2020-03-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/26/executive-order-2020-24
MI-EO-2020-25,2020-25,"Executive Order 2020-25: Temporary enhancements to operational capacity, flexibility, and efficiency of pharmacies - RESCINDED",2020-03-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/27/executive-order-2020-25
MI-EO-2020-26,2020-26,Executive Order 2020-26: Extension of April 2020 Michigan income tax filing deadlines - RESCINDED,2020-03-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/27/executive-order-2020-26
MI-EO-2020-27,2020-27,"Executive Order 2020-27: Conducting elections on May 5, 2020 using absent voter ballots - RESCINDED",2020-03-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/27/executive-order-2020-27
MI-EO-2020-28,2020-28,Executive Order 2020-28: Restoring water service to occupied residences during the COVID-19 pandemic - RESCINDED,2020-03-28,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/28/executive-order-2020-28
MI-EO-2020-29,2020-29,Executive Order 2020-29: Temporary COVID-19 protocols for entry into Michigan Department of Corrections facilities and transfers to and from Department custody; temporary recommended COVID-19 protocols and enhanced early-release authorization - RESCINDED,2020-03-29,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/29/executive-order-2020-29
MI-EO-2020-30,2020-30,Executive Order 2020-30: Temporary relief from certain restrictions and requirements governing the provision of medical services - RESCINDED,2020-03-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/30/executive-order-2020-30
MI-EO-2020-31,2020-31,Executive Order 2020-31: Temporary relief from standard vapor pressure restrictions on gasoline sales - RESCINDED,2020-03-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/30/executive-order-2020-31
MI-EO-2020-32,2020-32,Executive Order 2020-32: Temporary restrictions on non-essential veterinary services - RESCINDED,2020-03-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/30/executive-order-2020-32
MI-EO-2020-33,2020-33,Executive Order 2020-33: Expanded emergency and disaster declaration - RESCINDED,2020-04-02,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/02/executive-order-2020-33
MI-EO-2020-34,2020-34,Executive Order 2020-34: Temporary restrictions on veterinary services - RESCINDED,2020-04-02,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/02/executive-order-2020-34
MI-EO-2020-35,2020-35,Executive Order 2020-35: Provision of K-12 education during the remainder of the 2019-2020 school year - RESCINDED,2020-04-02,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/02/executive-order-2020-35
MI-EO-2020-36,2020-36,"Executive Order 2020-36: Protecting workers who stay home, stay safe when they or their close contacts are sick - RESCINDED",2020-04-03,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/03/executive-order-2020-36
MI-EO-2020-37,2020-37,"Executive Order 2020-37: Temporary restrictions on entry into health care facilities, residential care facilities, congregate care facilities, and juvenile justice facilities - RESCINDED",2020-04-06,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/06/executive-order-2020-37
MI-EO-2020-38,2020-38,Executive Order 2020-38: Temporary extensions of certain FOIA deadlines to facilitate COVID-19 emergency response efforts- RESCINDED,2020-04-06,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/06/executive-order-2020-38
MI-EO-2020-39,2020-39,Executive Order 2020-39: Temporary relief from certain restrictions and requirements governing the provision of emergency medical services) - RESCINDED,2020-04-08,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/08/executive-order-2020-39
MI-EO-2020-40,2020-40,"Executive Order 2020-40: Temporary relief from certain credentialing requirements for motor carriers transporting essential supplies, equipment, and persons - RESCINDED",2020-04-08,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/08/executive-order-2020-40
MI-EO-2020-41,2020-41,"Executive Order 2020-41: Encouraging the use of electronic signatures and remote notarization, witnessing, and visitation during the COVID-19 pandemic - RESCINDED",2020-04-09,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/09/executive-order-2020-41
MI-EO-2020-42,2020-42,Executive Order 2020-42: Temporary requirement to suspend activities that are not necessary to sustain or protect life - RESCINDED,2020-04-09,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/09/executive-order-2020-42
MI-EO-2020-43,2020-43,Executive Order 2020-43: Temporary restrictions on the use of public accommodation - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-43
MI-EO-2020-44,2020-44,Executive Order 2020-44: Enhanced support for deliveries - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-44
MI-EO-2020-45,2020-45,Executive Order 2020-45: Enhanced authorization of remote means for carrying out state administrative procedures - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-45
MI-EO-2020-46,2020-46,Executive Order 2020-46: Mitigating the economic harms of the COVID-19 pandemic through the creation of a spirits buyback program for restaurants and bars throughout the states - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-46
MI-EO-2020-47,2020-47,"Executive Order 2020-47: Temporary extension of the validity of driver licenses, state identification cards, and certain vehicle registrations - RESCINDED",2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-47
MI-EO-2020-48,2020-48,Executive Order 2020-48: Temporary authorization of remote participation in public meetings and hearings and temporary relief from monthly meeting requirements for school boards - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-48
MI-EO-2020-49,2020-49,Executive Order 2020-49: Temporary enhancements to operational capacity and efficiency of health care facilities - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-49
MI-EO-2020-50,2020-50,Executive Order 2020-50: Enhanced protections for residents and staff of long-term care facilities during the COVID-19 pandemic - RESCINDED,2020-04-15,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/15/executive-order-2020-50
MI-EO-2020-51,2020-51,Executive Order 2020-51: Expanding child care access during the COVID-19 pandemic - RESCINDED,2020-04-16,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/16/executive-order-2020-51
MI-EO-2020-52,2020-52,Executive Order 2020-52: Temporary extension of certain pesticide applicator certificates - RESCINDED,2020-04-17,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/17/executive-order-2020-52
MI-EO-2020-53,2020-53,Executive Order 2020-53: Enhanced restrictions on price gouging - RESCINDED,2020-04-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/18/executive-order-2020-53
MI-EO-2020-54,2020-54,Executive Order 2020-54: Temporary prohibition against entry to premises for the purpose of removing or excluding a tenant or mobile home owner from their home - RESCINDED,2020-04-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/18/executive-order-2020-54
MI-EO-2020-55,2020-55,Executive Order 2020-55: Michigan Coronavirus Task Force on Racial Disparities,2020-04-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/20/executive-order-2020-55
MI-EO-2020-56,2020-56,"Executive Order 2020-56: Temporary enhancements to operational capacity, flexibility, and efficiency of pharmacies - RESCINDED",2020-04-22,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/22/executive-order-2020-56
MI-EO-2020-57,2020-57,Executive Order 2020-57: Temporary expansions in unemployment eligibility and cost-sharing - RESCINDED,2020-04-23,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/23/executive-order-2020-57
MI-EO-2020-58,2020-58,Executive Order 2020-58: Ending the extension of case-initiation deadlines - RESCINDED,2020-04-23,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/23/executive-order-2020-58
MI-EO-2020-59,2020-59,Executive Order 2020-59: Temporary requirement to suspend activities that are not necessary to sustain or protect life -RESCINDED,2020-04-24,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/24/executive-order-2020-59
MI-EO-2020-60,2020-60,Executive Order 2020-60: Temporary safety measures for food-selling establishments and pharmacies and temporary relief from requirements applicable to the renewal of licenses for the food-service industry - RESCINDED,2020-04-26,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/26/executive-order-2020-60
MI-EO-2020-61,2020-61,Executive Order 2020-61: Temporary relief from certain restrictions and requirements governing the provision of medical services - RESCINDED,2020-04-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/27/executive-order-2020-61
MI-EO-2020-62,2020-62,Executive Order 2020-62: Temporary COVID-19 protocols for entry into Michigan Department of Corrections facilities and transfers to and from Department custody; temporary recommended COVID-19 protocols and enhanced early-release authorization - RESCINDED,2020-04-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/27/executive-order-2020-62
MI-EO-2020-63,2020-63,Executive Order 2020-63: Temporarily suspending the expiration of personal protection orders - RESCINDED,2020-04-27,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/27/executive-order-2020-63
MI-EO-2020-64,2020-64,Executive Order 2020-64: Affirming anti-discrimination policies and requiring certain health care providers to develop equitable access to care protocols - RESCINDED,2020-04-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/30/executive-order-2020-64
MI-EO-2020-65,2020-65,Executive Order 2020-65: Provision of K-12 education during the remainder of the 2019-2020 school year - RESCINDED,2020-04-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/30/executive-order-2020-65
MI-EO-2020-66,2020-66,Executive Order 2020-66: Termination of the states of emergency and disaster declared under the Emergency Management Act in Executive Order 2020-33 - RESCINDED,2020-04-30,termination,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/30/executive-order-2020-66
MI-EO-2020-67,2020-67,"Executive Order 2020-67: Declaration of state of emergency under the Emergency Powers of the Governor Act, 1945 PA 302 - RESCINDED",2020-04-30,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/30/executive-order-2020-67
MI-EO-2020-68,2020-68,"Executive Order 2020-68: Declaration of states of emergency and disaster under the Emergency Management Act, 1976 PA 390 - RESCINDED",2020-04-30,amendment,2020-4,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/04/30/executive-order-2020-68
MI-EO-2020-69,2020-69,Executive Order 2020-69: Temporary restrictions on the use of places of public accommodation - RESCINDED,2020-05-01,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/01/executive-order-2020-69
MI-EO-2020-70,2020-70,Executive Order 2020-70: Temporary requirement to suspend activities that are not necessary to sustain or protect life - RESCINDED,2020-05-01,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/01/executive-order-2020-70
MI-EO-2020-71,2020-71,Executive Order 2020-71: Temporary safety measures for food-selling establishments and pharmacies and temporary relief from requirements applicable to the renewal of licenses for the food-service industry - RESCINDED,2020-05-03,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/03/executive-order-2020-71
MI-EO-2020-72,2020-72,"Executive Order 2020-72: Temporary restrictions on entry into health care facilities, residential care facilities, congregate care facilities, and juvenile justice facilities - RESCINDED",2020-05-04,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/04/executive-order-2020-72
