eo_number,date_filed,title,url
2021-02,20210108,Ratification of Amendment A Litigation,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-02 - .PDF
2021-03,20210119,Executive Reorganization Order 2021-03,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-03.PDF
2021-04,20210205,Waiver of Certain DPS Requirements & COVID-19 Vaccines,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-04.PDF
2021-05,20210329,Protecting Girls' Sports in High School,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-05.PDF
2021-06,20210329,Protecting Women's Sports in College,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-06.PDF
2021-07,20210330,State of Emergency - Fire,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF
2021-08,20210420,Prohibition of Vaccine Passports,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-08.PDF
2021-09,20210629,Drought Emergency - Haying,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-09.PDF
2021-10,20210717,Trucking Restrictions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-10.PDF
2021-11,20210729,History/Civics Federal Grant Directive,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-11.PDF
2021-12,20210907,Serious Health Complications From Abortion-Inducing Drugs,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-12.PDF
2021-13,20210914,Drought Emergency,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-13.PDF
2021-14,20211027,COVID 19: Vaccination Exceptions for State Employees,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-14.PDF
2021-15,20211201,Drought Emergency - Livestock Feed Transportation,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-15.PDF
2021-16,20211230,Executive Order Review/Modifications,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-16.pdf
2020-01,20200114,State Contract Requirements Relating to Anti-BDS Movement,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-01.PDF
2020-02,20200213,Administratively Closed,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-02.PDF
2020-03,20200309,Child Support Commission,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-03.PDF
2020-04,20200313,COVID-19: State of Emergency,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-04.PDF
2020-05,20200313,COVID-19: State Employees,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-05.PDF
2020-06,20200319,COVID-19: Extending EO 2020-05,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-06.PDF
2020-07,20200323,COVID-19: Medical Assistance,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-07.PDF
2020-08,20200323,"COVID-19: Personal, Business, and Healthcare Precautions",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-08.PDF
