declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
IA-PROC-2024-36,Kimberly K. Reynolds,2024-36,Severe Storms and Flooding beginning June 26 (Clayton and Scott),2024-07-16,https://homelandsecurity.iowa.gov/media/397/download?inline
IA-PROC-2024-38,Kimberly K. Reynolds,2024-38,Severe Storms and Flooding June 21 and continuing - Emergency Classrooms (Sioux),2024-07-30,https://homelandsecurity.iowa.gov/media/467/download?inline
IA-PROC-2024-39,Kimberly K. Reynolds,2024-39,"Severe Storms July 29 and continuing (Cass, Mills, Plymouth, Pottawattamie, Wapello, Webster, and Woodbury)",2024-08-01,https://homelandsecurity.iowa.gov/media/473/download?inline
IA-PROC-2024-40,Kimberly K. Reynolds,2024-40,Severe Storms July 29 and continuing (Polk),2024-08-07,https://homelandsecurity.iowa.gov/media/479/download?inline
IA-PROC-2024-41,Kimberly K. Reynolds,2024-41,Severe Storms August 5 and continuing (Allamakee and Winneshiek),2024-08-08,https://homelandsecurity.iowa.gov/media/480/download?inline
IA-PROC-2024-42,Kimberly K. Reynolds,2024-42,Severe Storms and Flooding June 21 and continuing (Monona),2024-08-19,https://homelandsecurity.iowa.gov/media/487/download?inline
IA-PROC-2024-43,Kimberly K. Reynolds,2024-43,Severe Storms August 27 and continuing (Des Moines),2024-08-28,https://homelandsecurity.iowa.gov/media/493/download?inline
IA-PROC-2024-44,Kimberly K. Reynolds,2024-44,Severe Storms August 27 and continuing (Floyd),2024-09-05,https://homelandsecurity.iowa.gov/media/498/download?inline
IA-PROC-2024-45,Kimberly K. Reynolds,2024-45,Severe Storms occurring on June 16 (Scott),2024-09-05,https://homelandsecurity.iowa.gov/media/499/download?inline
IA-PROC-2025-11,Kimberly K. Reynolds,2025-11,"Severe Winter Weather (Crawford, Harrison, Monona, Shelby, and Woodbury Counties)",2025-03-19,https://homelandsecurity.iowa.gov/media/610/download?inline
IA-PROC-2025-12,Kim Reynolds,2025-12,"Severe Winter Weather occurring on March 19, 2025 (allows state resources to be utilized to respond to, and recover from, the effects of severe weather in Harrison County)",2025-03-27,https://homelandsecurity.iowa.gov/media/612/download?inline
