declaration_id,hazard_category_override,review_note,source_url
ME-ACTION-2012-10-26-state-of-maine-governor-s-emergency-procla,tropical,Official order record identifies the emergency transportation waiver issued in preparation for Hurricane Sandy,https://www.maine.gov/tools/whatsnew/index.php?topic=Gov_Executive_Orders&id=447913&v=article2018
ME-ACTION-2011-08-26-state-of-emergency-declaration,tropical,Official order record identifies Hurricane Irene and its anticipated wind and flooding impacts,https://www.maine.gov/tools/whatsnew/index.php?topic=Gov_Executive_Orders&id=295487&v=article2018
