declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
WY-EO-2021-04,Mark Gordon,2021-04,Declaration of Emergency,2021-03-16,https://drive.google.com/file/d/1Et80prkKGYKkVAmkevdBK6CZOyqrpNa-/view?usp=drive_link
WY-EO-2024-13,Mark Gordon,2024-13,Declaration of Emergency for Transportation and Watershed Impacts From Wildfires,2024-11-15,https://drive.google.com/file/d/1_c1UigOQo_4SEGqJGXqvAKRcVko_W-Bv/view?usp=sharing
WY-EO-2025-05,Mark Gordon,2025-05,Declaration of Emergency for Fire Suppression and Other Fire Related Activities,2025-08-17,https://drive.google.com/file/d/1Sfw3kuER7PLW922xQbppBdj_kQ1LjKrd/view
WY-EO-2025-06,Mark Gordon,2025-06,Declaration of Emergency for Fire Suppression and Other Fire Related Activities,2025-08-24,https://drive.google.com/file/d/17dIMoUSoA_amplRTt5eZ1tcEpAcFwnlJ/view
